role,material,source_package,source_version,repository_path,sha256,bytes,watertight,connected_components,extent_x_mm,extent_y_mm,extent_z_mm,physical_part_number_marking_verified,status,notes
DRIVE_SPROCKET,PETG,crawler_h1_integrated_sprocket_reinforcement_v0_13_1,v0.13.1,stl/petg/DRIVE_SPROCKET_V0131_INTEGRATED_B10_3_PCD24_M4.stl,c97775e441fe25ad029bedccb7890a8e9661418da10fcab2bcbf968ea0a493e2,661284,True,1,65.827477,65.827477,44.0,False,PRETEST_CANDIDATE,12T integrated-tooth drive sprocket; 10.3 mm bore; 4x M4-class holes on 24 mm PCD candidate.
IDLER_SPROCKET,PETG,crawler_h1_integrated_sprocket_reinforcement_v0_13_1,v0.13.1,stl/petg/IDLER_SPROCKET_V0131_INTEGRATED_6000_SEAT_B.stl,6544a7dace441579acd6d96e3a90cec84437fe6c048f19edc7d34f2ce0b1cad8,865284,True,1,65.827477,65.827477,44.0,False,PRETEST_CANDIDATE,12T integrated-tooth idler sprocket; 6000-2RS seat-B candidate.
SUPPORT_ROLLER,PETG,crawler_h1_integrated_sprocket_reinforcement_v0_13_1,v0.13.1 / inherited v0.13.0,stl/petg/SUPPORT_ROLLER_W44_OD50_6000_VERIFIED.stl,a20a9795849be1d6b9778204a209bc3798b64a5016a95bbe189ec26465f6df5c,151284,True,1,50.0,49.984459,44.0,False,PRETEST_CANDIDATE,"OD50 mm, nominal width 44 mm, 6000-2RS interface candidate."
TRACK_LINK,PETG,crawler_h1_wide_span_three_knuckle_link_v0_12_5,v0.12.5,stl/petg/STANDARD_V0125_WIDE_46_LINK.stl,eb21877913a281b17d080a178fbb5b916384c29504ba1e16a188e90c85f49c6a,557284,True,1,31.996958,54.0,21.75,False,PRETEST_CANDIDATE,20 mm pitch; 46 mm hinge stack; 50 mm body; 54 mm guide maximum; phi3 x 50.5 mm shaft candidate.
GROUND_LUG,TPU 95A,crawler_h1_snap_head_lug_link_v0_11_4_deep_capture_easy_shaft,v0.11.4,stl/tpu/PS-TRH1-LUG-0114-STANDARD.stl,a30e911586d20a2f4b1c41d823a75cc22e34897d181534447c402a2c65b96d2e,333684,True,1,14.0,34.0,8.0,False,PRETEST_CANDIDATE,CAP-B standard lug candidate; 8.0 mm thickness; 1.8 mm TPU ground floor.
