pair_id,shape_a_name,shape_b_name,coupling_state,sample_position_mm,numerical_distance_tolerance_mm,intersection_volume_tolerance_mm3,required_clearance_mm,note,calculation_api,intersection_volume_mm3,intersection_solid_count,minimum_distance_mm,nearest_point_a_x,nearest_point_a_y,nearest_point_a_z,nearest_point_b_x,nearest_point_b_y,nearest_point_b_z,classification,result,error
CAD-0018,RIGHT_COUPLING_SLEEVE_RETRACTED,CENTRAL_ALIGNMENT_GUIDE_LEFT,RETRACTED,0.0,0.05,0.01,5.0,coupling versus left alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.811388301,160.0,-8.0,320.0,165.0,7.0,320.0,CLEAR,PASS,
CAD-0019,RIGHT_COUPLING_SLEEVE_RETRACTED,CENTRAL_ALIGNMENT_GUIDE_RIGHT,RETRACTED,0.0,0.05,0.01,5.0,coupling versus right alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.0,320.0,165.0,-8.0,320.0,CLEAR,PASS,
CAD-0020,RIGHT_COUPLING_SLEEVE_RETRACTED,CENTRAL_MECHANICAL_LOCK,RETRACTED,0.0,0.05,0.01,5.0,coupling versus mechanical lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,-16.0,326.426123,181.0,-16.0,346.0,CLEAR,PASS,
CAD-0021,RIGHT_COUPLING_SLEEVE_RETRACTED,RIGHT_GUARD_FIXED,RETRACTED,0.0,0.05,0.01,5.0,coupling versus fixed guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,17.262676502,150.0,-18.0,330.0,150.0,-35.0,333.0,CLEAR,PASS,
CAD-0022,RIGHT_COUPLING_SLEEVE_RETRACTED,WIRING_KEEP_OUT,RETRACTED,0.0,0.05,0.01,10.0,coupling versus protected wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,-8.0,325.547002,180.0,-8.0,340.0,CLEAR,PASS,
CAD-0023,RIGHT_COUPLING_SLEEVE_RETRACTED,COUPLING_OPERATION_TOOL_ENVELOPE,RETRACTED,0.0,0.05,0.01,0.0,intentional tool access boundary; no positive clearance required,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,160.0,-8.0,320.0,160.0,-8.0,320.0,CONTACT,PASS,
CAD-0024,RIGHT_COUPLING_SLEEVE_RETRACTED,UNIT_INSTALLATION_ENVELOPE,RETRACTED,0.0,0.05,0.01,5.0,front installation envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.0,320.0,165.0,-8.0,320.0,CLEAR,PASS,
CAD-0025,RIGHT_COUPLING_SLEEVE_RETRACTED,UNIT_REMOVAL_ENVELOPE,RETRACTED,0.0,0.05,0.01,5.0,front removal envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.0,320.0,165.0,-8.0,320.0,CLEAR,PASS,
CAD-0026,RIGHT_COUPLING_SLEEVE_RETRACTED,RIGHT_UNIT_INPUT_SUPPORT,RETRACTED,0.0,0.05,0.01,5.0,independent unit input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,-8.0,320.0,175.0,-8.0,320.0,CLEAR,PASS,
CAD-0027,RIGHT_COUPLING_SLEEVE_RETRACTED,CENTRAL_FINGER_KEEP_OUT,RETRACTED,0.0,0.05,0.01,0.0,finger keep-out reference boundary,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,13.259406699,154.299336,-8.0,329.028605,160.0,-8.0,341.0,CLEAR,PASS,
CAD-0028,RIGHT_PTO_STUB,RIGHT_UNIT_INPUT_SHAFT,RETRACTED,0.0,0.05,0.01,0.0,independent axial interfaces meet at reference plane,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,150.0,-18.0,325.0,150.0,-18.0,325.0,CONTACT,PASS,
CAD-0029,LEFT_COUPLING_SLEEVE_PARTIAL,RIGHT_COUPLING_SLEEVE_PARTIAL,PARTIAL,5.0,0.05,0.01,5.0,left/right sleeves remain independent,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.0,150.0,13.0,330.0,150.0,-13.0,330.0,CLEAR,PASS,
CAD-0030,LEFT_COUPLING_SLEEVE_PARTIAL,RIGHT_PTO_STUB,PARTIAL,5.0,0.05,0.01,5.0,sleeve versus opposite rover stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,31.005805908,150.0,13.0,325.6,150.0,-18.0,325.0,CLEAR,PASS,
CAD-0031,LEFT_COUPLING_SLEEVE_PARTIAL,CENTRAL_UNIT_FRAME,PARTIAL,5.0,0.05,0.01,5.0,coupling versus central fixed structure,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,22.0,328.0,180.0,22.0,360.0,CLEAR,PASS,
CAD-0032,LEFT_COUPLING_SLEEVE_PARTIAL,CENTRAL_ALIGNMENT_GUIDE_LEFT,PARTIAL,5.0,0.05,0.01,5.0,coupling versus left alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,23.0,320.0,165.0,23.0,320.0,CLEAR,PASS,
CAD-0033,LEFT_COUPLING_SLEEVE_PARTIAL,CENTRAL_ALIGNMENT_GUIDE_RIGHT,PARTIAL,5.0,0.05,0.01,5.0,coupling versus right alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,20.615528128,160.0,13.0,320.0,165.0,-7.0,320.0,CLEAR,PASS,
CAD-0034,LEFT_COUPLING_SLEEVE_PARTIAL,CENTRAL_MECHANICAL_LOCK,PARTIAL,5.0,0.05,0.01,5.0,coupling versus mechanical lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,16.0,326.426123,181.0,16.0,346.0,CLEAR,PASS,
CAD-0035,LEFT_COUPLING_SLEEVE_PARTIAL,LEFT_GUARD_FIXED,PARTIAL,5.0,0.05,0.01,5.0,coupling versus fixed guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,12.369316877,150.0,23.0,330.0,150.0,35.0,333.0,CLEAR,PASS,
CAD-0036,LEFT_COUPLING_SLEEVE_PARTIAL,WIRING_KEEP_OUT,PARTIAL,5.0,0.05,0.01,10.0,coupling versus protected wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,23.0,325.547002,180.0,23.0,340.0,CLEAR,PASS,
CAD-0037,LEFT_COUPLING_SLEEVE_PARTIAL,COUPLING_OPERATION_TOOL_ENVELOPE,PARTIAL,5.0,0.05,0.01,0.0,intentional tool access boundary; no positive clearance required,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,160.0,23.0,320.0,160.0,23.0,320.0,CONTACT,PASS,
CAD-0038,LEFT_COUPLING_SLEEVE_PARTIAL,UNIT_INSTALLATION_ENVELOPE,PARTIAL,5.0,0.05,0.01,5.0,front installation envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,23.0,320.0,165.0,23.0,320.0,CLEAR,PASS,
CAD-0039,LEFT_COUPLING_SLEEVE_PARTIAL,UNIT_REMOVAL_ENVELOPE,PARTIAL,5.0,0.05,0.01,5.0,front removal envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,23.0,320.0,165.0,23.0,320.0,CLEAR,PASS,
CAD-0040,LEFT_COUPLING_SLEEVE_PARTIAL,LEFT_UNIT_INPUT_SUPPORT,PARTIAL,5.0,0.05,0.01,5.0,independent unit input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,23.0,320.0,175.0,23.0,320.0,CLEAR,PASS,
CAD-0041,LEFT_COUPLING_SLEEVE_PARTIAL,CENTRAL_FINGER_KEEP_OUT,PARTIAL,5.0,0.05,0.01,0.0,finger keep-out reference boundary,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,13.259406699,154.299336,23.0,329.028605,160.0,23.0,341.0,CLEAR,PASS,
CAD-0042,LEFT_PTO_STUB,LEFT_UNIT_INPUT_SHAFT,PARTIAL,5.0,0.05,0.01,0.0,independent axial interfaces meet at reference plane,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,150.0,18.0,325.0,150.0,18.0,325.0,CONTACT,PASS,
CAD-0043,RIGHT_COUPLING_SLEEVE_PARTIAL,LEFT_COUPLING_SLEEVE_PARTIAL,PARTIAL,5.0,0.05,0.01,5.0,left/right sleeves remain independent,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.0,150.0,-13.0,330.0,150.0,13.0,330.0,CLEAR,PASS,
CAD-0044,RIGHT_COUPLING_SLEEVE_PARTIAL,LEFT_PTO_STUB,PARTIAL,5.0,0.05,0.01,5.0,sleeve versus opposite rover stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,31.005805908,150.0,-13.0,325.6,150.0,18.0,325.0,CLEAR,PASS,
CAD-0045,RIGHT_COUPLING_SLEEVE_PARTIAL,CENTRAL_UNIT_FRAME,PARTIAL,5.0,0.05,0.01,5.0,coupling versus central fixed structure,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,-22.0,328.0,180.0,-22.0,360.0,CLEAR,PASS,
CAD-0046,RIGHT_COUPLING_SLEEVE_PARTIAL,CENTRAL_ALIGNMENT_GUIDE_LEFT,PARTIAL,5.0,0.05,0.01,5.0,coupling versus left alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,20.615528128,160.0,-13.0,320.0,165.0,7.0,320.0,CLEAR,PASS,
CAD-0047,RIGHT_COUPLING_SLEEVE_PARTIAL,CENTRAL_ALIGNMENT_GUIDE_RIGHT,PARTIAL,5.0,0.05,0.01,5.0,coupling versus right alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-13.0,320.0,165.0,-13.0,320.0,CLEAR,PASS,
CAD-0048,RIGHT_COUPLING_SLEEVE_PARTIAL,CENTRAL_MECHANICAL_LOCK,PARTIAL,5.0,0.05,0.01,5.0,coupling versus mechanical lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,-16.0,326.426123,181.0,-16.0,346.0,CLEAR,PASS,
CAD-0049,RIGHT_COUPLING_SLEEVE_PARTIAL,RIGHT_GUARD_FIXED,PARTIAL,5.0,0.05,0.01,5.0,coupling versus fixed guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,12.369316877,150.0,-23.0,330.0,150.0,-35.0,333.0,CLEAR,PASS,
CAD-0050,RIGHT_COUPLING_SLEEVE_PARTIAL,WIRING_KEEP_OUT,PARTIAL,5.0,0.05,0.01,10.0,coupling versus protected wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,-13.0,325.547002,180.0,-13.0,340.0,CLEAR,PASS,
CAD-0051,RIGHT_COUPLING_SLEEVE_PARTIAL,COUPLING_OPERATION_TOOL_ENVELOPE,PARTIAL,5.0,0.05,0.01,0.0,intentional tool access boundary; no positive clearance required,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,160.0,-13.0,320.0,160.0,-13.0,320.0,CONTACT,PASS,
CAD-0052,RIGHT_COUPLING_SLEEVE_PARTIAL,UNIT_INSTALLATION_ENVELOPE,PARTIAL,5.0,0.05,0.01,5.0,front installation envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-13.0,320.0,165.0,-13.0,320.0,CLEAR,PASS,
CAD-0053,RIGHT_COUPLING_SLEEVE_PARTIAL,UNIT_REMOVAL_ENVELOPE,PARTIAL,5.0,0.05,0.01,5.0,front removal envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-13.0,320.0,165.0,-13.0,320.0,CLEAR,PASS,
CAD-0054,RIGHT_COUPLING_SLEEVE_PARTIAL,RIGHT_UNIT_INPUT_SUPPORT,PARTIAL,5.0,0.05,0.01,5.0,independent unit input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,-13.0,320.0,175.0,-13.0,320.0,CLEAR,PASS,
CAD-0055,RIGHT_COUPLING_SLEEVE_PARTIAL,CENTRAL_FINGER_KEEP_OUT,PARTIAL,5.0,0.05,0.01,0.0,finger keep-out reference boundary,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,13.259406699,154.299336,-23.0,329.028605,160.0,-23.0,341.0,CLEAR,PASS,
CAD-0056,RIGHT_PTO_STUB,RIGHT_UNIT_INPUT_SHAFT,PARTIAL,5.0,0.05,0.01,0.0,independent axial interfaces meet at reference plane,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,150.0,-18.0,325.0,150.0,-18.0,325.0,CONTACT,PASS,
CAD-0057,LEFT_COUPLING_SLEEVE_ENGAGED,RIGHT_COUPLING_SLEEVE_ENGAGED,ENGAGED,10.0,0.05,0.01,5.0,left/right sleeves remain independent,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,36.0,150.0,18.0,330.0,150.0,-18.0,330.0,CLEAR,PASS,
