part_id,category,quantity,geometry,opening_count,status,mass_status
V2292-PORTAL-PILLAR-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PTO-BAY-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PTO-BAY-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-BRACKET,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,12,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-BRIDGE,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,20,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-COVER,PRINTED_PART,1,HOLLOW,9,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-TRAY,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-BATTERY,PRINTED_PART,1,HOLLOW,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-CENTER,PRINTED_PART,1,HOLLOW,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-FRONT,PRINTED_PART,1,HOLLOW,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-LOWER,PRINTED_PART,1,HOLLOW,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-UNIT-FEED,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-UPPER-TORQUE-BRACKET,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,10,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-UPPER-TORQUE-LINK-PAD,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2293-PTO-COVER-L,PRINTED_PART,1,HOLLOW,11,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2293-PTO-COVER-R,PRINTED_PART,1,HOLLOW,11,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
