hole_id,fastener,diameter_mm,x_mm,y_mm,z_start_mm,z_end_petg_mm,feature,status
M3_HOLE_1,M3,3.4,-12.0,-15.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M3_HOLE_2,M3,3.4,12.0,-15.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M3_HOLE_3,M3,3.4,-12.0,15.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M3_HOLE_4,M3,3.4,12.0,15.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M5_HOLE_1,M5,5.7,-10.0,-30.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M5_HOLE_2,M5,5.7,10.0,-30.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M5_HOLE_3,M5,5.7,-10.0,30.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
M5_HOLE_4,M5,5.7,10.0,30.0,0.0,6.0,STRAIGHT_THROUGH_CLEARANCE,CANDIDATE
