candidate_id,search_stage,architecture,coupling_envelope,coupling_od_mm,coupling_body_length_mm,required_engagement_mm,sliding_stroke_mm,stub_length_mm,stack_outward_shift_each_mm,center_end_gap_mm,coupling_body_mutual_clearance_mm,engagement_margin_mm,total_width_mm,left_right_independent,direct_left_right_coupling,status,rejection_reason
S12-C1-SMALL-STUB12.5-SHIFT10-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,12.5,10.0,56.0,31.0,2.5,299.0,True,False,WIDTH_MARGIN_CRITICAL,
S12-C1-SMALL-STUB12.5-SHIFT12.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,12.5,12.5,61.0,36.0,2.5,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB12.5-SHIFT15-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,12.5,15.0,66.0,41.0,2.5,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB15-SHIFT0-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,0.0,31.0,11.0,5.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB15-SHIFT2.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,2.5,36.0,16.0,5.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB15-SHIFT5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,5.0,41.0,21.0,5.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB15-SHIFT7.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,7.5,46.0,26.0,5.0,294.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB15-SHIFT10-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,10.0,51.0,31.0,5.0,299.0,True,False,WIDTH_MARGIN_CRITICAL,
S12-C1-SMALL-STUB15-SHIFT12.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,12.5,56.0,36.0,5.0,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB15-SHIFT15-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,15.0,61.0,41.0,5.0,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
