candidate_id,coupling_envelope,stub_length_mm,required_engagement_mm,axial_geometry_reserve_mm,engagement_margin_mm,status
COUPLING_SMALL-STUB10-RES3,COUPLING_SMALL,10.0,8.0,3.0,-1.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB10-RES5,COUPLING_SMALL,10.0,8.0,5.0,-3.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB10-RES0,COUPLING_MEDIUM,10.0,12.0,0.0,-2.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB10-RES1,COUPLING_MEDIUM,10.0,12.0,1.0,-3.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB10-RES2,COUPLING_MEDIUM,10.0,12.0,2.0,-4.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB10-RES3,COUPLING_MEDIUM,10.0,12.0,3.0,-5.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB10-RES5,COUPLING_MEDIUM,10.0,12.0,5.0,-7.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB10-RES0,COUPLING_LARGE,10.0,18.0,0.0,-8.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB10-RES1,COUPLING_LARGE,10.0,18.0,1.0,-9.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB10-RES2,COUPLING_LARGE,10.0,18.0,2.0,-10.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB10-RES3,COUPLING_LARGE,10.0,18.0,3.0,-11.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB10-RES5,COUPLING_LARGE,10.0,18.0,5.0,-13.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB10-RES0,COUPLING_XL,10.0,25.0,0.0,-15.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB10-RES1,COUPLING_XL,10.0,25.0,1.0,-16.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB10-RES2,COUPLING_XL,10.0,25.0,2.0,-17.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB10-RES3,COUPLING_XL,10.0,25.0,3.0,-18.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB10-RES5,COUPLING_XL,10.0,25.0,5.0,-20.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB12.5-RES0,COUPLING_SMALL,12.5,8.0,0.0,4.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB12.5-RES1,COUPLING_SMALL,12.5,8.0,1.0,3.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB12.5-RES2,COUPLING_SMALL,12.5,8.0,2.0,2.5,RECOMMENDED
COUPLING_SMALL-STUB12.5-RES3,COUPLING_SMALL,12.5,8.0,3.0,1.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB12.5-RES5,COUPLING_SMALL,12.5,8.0,5.0,-0.5,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB12.5-RES0,COUPLING_MEDIUM,12.5,12.0,0.0,0.5,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB12.5-RES1,COUPLING_MEDIUM,12.5,12.0,1.0,-0.5,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB12.5-RES2,COUPLING_MEDIUM,12.5,12.0,2.0,-1.5,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB12.5-RES3,COUPLING_MEDIUM,12.5,12.0,3.0,-2.5,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB12.5-RES5,COUPLING_MEDIUM,12.5,12.0,5.0,-4.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB12.5-RES0,COUPLING_LARGE,12.5,18.0,0.0,-5.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB12.5-RES1,COUPLING_LARGE,12.5,18.0,1.0,-6.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB12.5-RES2,COUPLING_LARGE,12.5,18.0,2.0,-7.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB12.5-RES3,COUPLING_LARGE,12.5,18.0,3.0,-8.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB12.5-RES5,COUPLING_LARGE,12.5,18.0,5.0,-10.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB12.5-RES0,COUPLING_XL,12.5,25.0,0.0,-12.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB12.5-RES1,COUPLING_XL,12.5,25.0,1.0,-13.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB12.5-RES2,COUPLING_XL,12.5,25.0,2.0,-14.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB12.5-RES3,COUPLING_XL,12.5,25.0,3.0,-15.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB12.5-RES5,COUPLING_XL,12.5,25.0,5.0,-17.5,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB15-RES0,COUPLING_SMALL,15.0,8.0,0.0,7.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB15-RES1,COUPLING_SMALL,15.0,8.0,1.0,6.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB15-RES2,COUPLING_SMALL,15.0,8.0,2.0,5.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB15-RES3,COUPLING_SMALL,15.0,8.0,3.0,4.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB15-RES5,COUPLING_SMALL,15.0,8.0,5.0,2.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB15-RES0,COUPLING_MEDIUM,15.0,12.0,0.0,3.0,PASS_GEOMETRIC
