candidate_id,search_stage,architecture,motor_envelope,frame_layout,frame_section,belt_layout,pto_x_offset_from_motor_mm,pto_axis_x_mm,pto_axis_z_mm,pto_belt_plane_abs_y_mm,drive_belt_plane_abs_y_mm,frame_rail_abs_y_mm,l_bracket_size,l_bracket_placement,l_bracket_x_offset_mm,center_pto_end_gap_mm,coupling_candidate,belt_to_fixed_clearance_mm,belt_to_l_bracket_clearance_mm,pto_rotation_to_fixed_clearance_mm,pto_rotation_to_l_bracket_clearance_mm,pto_safety_to_kp000_clearance_mm,drive_pto_belt_safety_gap_mm,clutch_to_belt_clearance_mm,clutch_to_fixed_clearance_mm,pto_rotation_bottom_z_mm,total_width_mm,absolute_contract_pass,target_contract_pass,score,status,rejection_reason
S3-X180-PY80.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,180.0,120.0,320.0,80.0,120.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,6.5,10.0,-20.0,10.0,5.0,9.0,0.0,12.0,260.0,290.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X180-PY85.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,180.0,120.0,320.0,85.0,125.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,11.5,10.0,-20.0,10.0,10.0,9.0,0.0,12.0,260.0,290.0,False,False,0.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X180-PY90.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,180.0,120.0,320.0,90.0,130.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,16.5,10.0,-20.0,10.0,5.0,9.0,0.0,12.0,260.0,295.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X190-PY80.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,190.0,130.0,320.0,80.0,120.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,6.5,10.0,-10.0,10.0,5.0,9.0,0.0,12.0,260.0,290.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X190-PY85.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,190.0,130.0,320.0,85.0,125.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,11.5,10.0,-10.0,10.0,10.0,9.0,0.0,12.0,260.0,290.0,False,False,0.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X190-PY90.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,190.0,130.0,320.0,90.0,130.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,16.5,10.0,-10.0,10.0,5.0,9.0,0.0,12.0,260.0,295.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X200-PY80.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,200.0,140.0,320.0,80.0,120.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,6.5,10.0,0.0,10.0,5.0,9.0,0.0,12.0,260.0,290.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X200-PY85.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,200.0,140.0,320.0,85.0,125.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,11.5,10.0,0.0,10.0,10.0,9.0,0.0,12.0,260.0,290.0,False,False,0.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X200-PY90.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,200.0,140.0,320.0,90.0,130.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,16.5,10.0,0.0,10.0,5.0,9.0,0.0,12.0,260.0,295.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X210-PY80.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,210.0,150.0,320.0,80.0,120.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,6.5,10.0,6.5,10.0,5.0,9.0,10.0,12.0,260.0,290.0,False,False,10.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
S3-X210-PY85.0,3,B,MOTOR_MEDIUM,FRAME-E,F2040-A,B1,210.0,150.0,320.0,85.0,125.0,48.0,L_LARGE,FORE_AFT_X,70.0,60.0,C1,11.5,10.0,10.0,10.0,10.0,9.0,10.0,12.0,260.0,290.0,True,True,0.0,INTERMEDIATE_STAGE,FRAME_SECTION_NOT_YET_SELECTED
