plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,14.0,174.0,52.0,220.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,56.0,174.0,94.0,220.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,98.0,174.0,136.0,220.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,140.0,174.0,178.0,220.0,PASS
7,07_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-F-L,False,108.0,156.0,240.0,4.0,12.0,256.0,14.0,14.0,122.0,170.0,PASS
7,07_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-F-R,False,108.0,156.0,240.0,4.0,12.0,256.0,126.0,14.0,234.0,170.0,PASS
8,08_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-R-L,False,108.0,156.0,240.0,4.0,12.0,256.0,14.0,14.0,122.0,170.0,PASS
8,08_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-R-R,False,108.0,156.0,240.0,4.0,12.0,256.0,126.0,14.0,234.0,170.0,PASS
9,09_rigid_all_dense,RIGID,PS-RV2273G1-INT-PCB-SHELF-S,False,138.0,92.0,240.0,4.0,12.0,256.0,14.0,14.0,152.0,106.0,PASS
9,09_rigid_all_dense,RIGID,PS-RV2273G1-INT-PCB-SHELF-S,True,92.0,138.0,240.0,4.0,12.0,256.0,156.0,14.0,248.0,152.0,CHECK_OR_SPLIT
9,09_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,False,108.4,108.366,240.0,4.0,12.0,256.0,14.0,110.0,122.4,218.366,PASS
9,09_rigid_all_dense,RIGID,PS-RV2273G1-RCP-DOGHOUSE-G3,False,116.0,92.0,240.0,4.0,12.0,256.0,126.4,156.0,242.4,248.0,CHECK_OR_SPLIT
10,10_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,False,108.4,108.366,240.0,4.0,12.0,256.0,14.0,14.0,122.4,122.366,PASS
10,10_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,False,108.4,108.366,240.0,4.0,12.0,256.0,126.4,14.0,234.8,122.366,PASS
10,10_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,True,108.366,108.4,240.0,4.0,12.0,256.0,14.0,126.366,122.366,234.766,PASS
