plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_tpu_all_dense,TPU,PS-WEED-V001-LIMIT-BUMPER-TPU-S,stl/PS-WEED-V001-LIMIT-BUMPER-TPU-S.stl,1,W001-G-TPU-OPTIONAL,weed_v001_1_passive_rake,False,-118.0,-118.0,-94.0,-104.0,24.0,14.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,optional TPU bumper for drop-limit impact; remove if TPU workflow should be skipped
1,01_tpu_all_dense,TPU,PS-WEED-V001-LIMIT-BUMPER-TPU-S,stl/PS-WEED-V001-LIMIT-BUMPER-TPU-S.stl,2,W001-G-TPU-OPTIONAL,weed_v001_1_passive_rake,False,-90.0,-118.0,-66.0,-104.0,24.0,14.0,6.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,optional TPU bumper for drop-limit impact; remove if TPU workflow should be skipped
