candidate_id,cad_nominal_bore_mm,offset_from_D_REF_CAD_mm,component_id,quantity,print_orientation,intended_use,physical_status
S0,10.10,+0.00,PS-CR-V0922-S0,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
S1,10.20,+0.10,PS-CR-V0922-S1,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
S2,10.30,+0.20,PS-CR-V0922-S2,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
S3,10.40,+0.30,PS-CR-V0922-S3,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
S4,10.50,+0.40,PS-CR-V0922-S4,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
S5,10.60,+0.50,PS-CR-V0922-S5,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
S6,10.70,+0.60,PS-CR-V0922-S6,1,BORE_AXIS_Z,NO_LOAD_FREE_AXIAL_SLIDE,PHYSICAL_TEST_NOT_PERFORMED
