plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_tpu_all_dense,TPU,PS-RV227-BBOX-GSK,PS-RV227-BBOX-GSK.stl,1,FULLSET-BOX-BBOX-GSK,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,86.0,36.0,204.0,154.0,3.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU gasket candidate; notch zones require silicone/boot/gland/potting; not a waterproof guarantee
2,02_tpu_all_dense,TPU,PS-RV227-CBOX-GSK,PS-RV227-CBOX-GSK.stl,1,FULLSET-BOX-CBOX-GSK,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,86.0,36.0,204.0,154.0,3.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,TPU gasket candidate; notch zones require silicone/boot/gland/potting; not a waterproof guarantee
3,03_tpu_all_dense,TPU,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S.stl,1,MS-B-TPU-TREAD-RING,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,12.0,12.0,130.0,130.0,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,TPU only on replaceable tread contact surface; low lugs; no full-TPU wheel
4,04_tpu_all_dense,TPU,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S.stl,2,MS-B-TPU-TREAD-RING,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,12.0,12.0,130.0,130.0,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,TPU only on replaceable tread contact surface; low lugs; no full-TPU wheel
5,05_tpu_all_dense,TPU,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S.stl,3,MS-B-TPU-TREAD-RING,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,12.0,12.0,130.0,130.0,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,TPU only on replaceable tread contact surface; low lugs; no full-TPU wheel
6,06_tpu_all_dense,TPU,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S.stl,4,MS-B-TPU-TREAD-RING,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,12.0,12.0,130.0,130.0,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,TPU only on replaceable tread contact surface; low lugs; no full-TPU wheel
