part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV228-TURTLE-SHELL-UPPER-F-R,PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,RIGID,auto-flat,AXIS24_00,108.0,156.0,28.0,108.0,156.0,28.5,-0.5,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,28.5,10.0,16848.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-TURTLE-SHELL-UPPER-F-R.stl
PS-RV228-TURTLE-SHELL-UPPER-R-L,PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,RIGID,auto-flat,AXIS24_00,108.0,156.0,28.0,108.0,156.0,28.5,-0.5,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,28.5,10.0,16848.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-TURTLE-SHELL-UPPER-R-L.stl
PS-RV228-TURTLE-SHELL-UPPER-R-R,PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,RIGID,auto-flat,AXIS24_00,108.0,156.0,28.0,108.0,156.0,28.5,-0.5,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,28.5,10.0,16848.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-TURTLE-SHELL-UPPER-R-R.stl
PS-RV228-BELLY-HULL-CENTER-F-L,PS-RV228-BELLY-HULL-CENTER-F-L.stl,RIGID,auto-flat,AXIS24_01,108.0,156.0,32.0,108.0,156.0,32.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,32.0,10.0,14126.307,0.8385,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BELLY-HULL-CENTER-F-L.stl
PS-RV228-BELLY-HULL-CENTER-F-R,PS-RV228-BELLY-HULL-CENTER-F-R.stl,RIGID,auto-flat,AXIS24_01,108.0,156.0,32.0,108.0,156.0,32.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,32.0,10.0,14126.307,0.8385,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BELLY-HULL-CENTER-F-R.stl
PS-RV228-BELLY-HULL-CENTER-R-L,PS-RV228-BELLY-HULL-CENTER-R-L.stl,RIGID,auto-flat,AXIS24_01,108.0,156.0,32.0,108.0,156.0,32.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,32.0,10.0,14126.307,0.8385,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BELLY-HULL-CENTER-R-L.stl
PS-RV228-BELLY-HULL-CENTER-R-R,PS-RV228-BELLY-HULL-CENTER-R-R.stl,RIGID,auto-flat,AXIS24_01,108.0,156.0,32.0,108.0,156.0,32.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,32.0,10.0,14126.307,0.8385,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BELLY-HULL-CENTER-R-R.stl
PS-RV228-BUOYANCY-CHAMBER-SIDE-L,PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,RIGID,auto-flat,AXIS24_00,38.0,132.0,34.0,38.0,132.0,35.0,-1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,35.0,10.0,5016.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl
PS-RV228-BUOYANCY-CHAMBER-SIDE-L,PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl,RIGID,auto-flat,AXIS24_00,38.0,132.0,34.0,38.0,132.0,35.0,-1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,35.0,10.0,5016.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-L.stl
PS-RV228-BUOYANCY-CHAMBER-SIDE-R,PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl,RIGID,auto-flat,AXIS24_00,38.0,132.0,34.0,38.0,132.0,35.0,-1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,35.0,10.0,5016.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl
PS-RV228-BUOYANCY-CHAMBER-SIDE-R,PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl,RIGID,auto-flat,AXIS24_00,38.0,132.0,34.0,38.0,132.0,35.0,-1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,35.0,10.0,5016.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl
