candidate_id,shape_group,environment,intersection_volume_mm3,collision,authorization,hard_constraint_effect,calculation
C_LATERAL_FORE_AFT_STAGGERED,motor_guard,DRAINAGE_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,CBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,BBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,FRAME,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,TRACKS,917.670851,YES,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,BATTERY_EXTRACTION_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,UNIT_MATING_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,service,DRAINAGE_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,removal,CBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,removal,BBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,removal,FRAME,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,removal,TRACKS,5508.161765,YES,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,removal,BATTERY_EXTRACTION_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
C_LATERAL_FORE_AFT_STAGGERED,removal,UNIT_MATING_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
